lambda	n	k
2.066	3.44	0
1.771	3.45	0
1.550	3.48	0
1.378	3.5	0
1.240	3.54	0
1.127	3.57	0
1.033	3.61	0
0.9537	3.68	0
0.8856	3.77	.0401
0.8266	3.86	.0812
0.7749	3.93	.136
0.7293	4.01	.199
0.6888	4.09	.271
0.6525	4.17	.363
0.6199	4.23	.461
0.5904	4.277	.557
0.5636	4.36	.69
0.5391	4.42	.827
0.5166	4.46	.969
0.4959	4.482	1.119
0.4769	4.49	1.28
0.4592	4.487	1.456
0.4428	4.47	1.64
0.4275	4.437	1.83
0.4133	4.38	2.02
0.3999	4.286	2.206
0.3875	4.17	2.38
0.3757	4.044	2.529
0.3647	3.9	2.66
0.3542	3.729	2.78
0.3444	3.55	2.88
0.3351	3.379	2.95
0.3263	3.21	3
0.3179	3.038	3.039
0.3100	2.87	3.06
0.3024	2.71	3.057
0.2952	2.56	3.04
0.2883	2.425	3.017
0.2818	2.3	2.99
0.2755	2.182	2.962
0.2695	2.07	2.93
0.2638	1.961	2.892
0.2583	1.86	2.85
0.2530	1.771	2.806
0.2480	1.69	2.76
0.2431	1.613	2.712
0.2384	1.54	2.662
0.2339	1.472	2.611
0.2296	1.409	2.561
0.2254	1.35	2.51
0.2214	1.295	2.462
0.2175	1.243	2.416
0.2138	1.195	2.37
0.2101	1.151	2.324
0.2066	1.110999	2.277999
